sitename,repository_url
Muenchen,https://github.com/freifunkMUC/site-ffm.git
Muenster,https://github.com/FreiFunkMuenster/site-ffmsl.git
Bodensee,https://github.com/ffbsee/ffbsee-site.git
Dreilaenderdreieck,https://github.com/ff3l/site-ff3l.git
Regensburg,https://github.com/ffrgb/site-ffrgb.git
Bremen,https://github.com/FreifunkBremen/gluon-site-ffhb.git
Darmstadt,https://github.com/freifunk-darmstadt/site-ffda.git
Vogtland,https://github.com/FreifunkVogtland/site-ffv.git
Aachen,https://github.com/ffac/site.git
Magdeburg,https://github.com/FreifunkMD/site-ffmd.git
